username,file_path,folder,file_name,transcript,kind,label,label_text,label_source,updated_at,binary_label,absolute_path,y_true,y_pred,y_prob,error_type,error_margin
user3,50015420251104085547_006_5c861497-7a51-4d4c-ae7f-b5d9a0f75ed7/clone3.wav,50015420251104085547_006_5c861497-7a51-4d4c-ae7f-b5d9a0f75ed7,clone3.wav,con nào thảm mài phủ gầm,work,2,unusable,user3,2026-05-25T07:25:38.741275+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50015420251104085547_006_5c861497-7a51-4d4c-ae7f-b5d9a0f75ed7/clone3.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user3,50015420251108110443_002_c98ea02b-4bb1-4779-b785-4412a42b75e5/clone6.wav,50015420251108110443_002_c98ea02b-4bb1-4779-b785-4412a42b75e5,clone6.wav,ừ anh đang muốn đặt lịch sửa xe ấy,work,2,unusable,user3,2026-05-25T07:20:22.609987+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50015420251108110443_002_c98ea02b-4bb1-4779-b785-4412a42b75e5/clone6.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user6,50008420251114110604_006_200e828a-8c00-476f-b440-2ce06d1b8ce4/clone8.wav,50008420251114110604_006_200e828a-8c00-476f-b440-2ce06d1b8ce4,clone8.wav,thái bình ở đra-gân ô-tô thái bình ở chỗ trần thái tông thái bình à anh? ừ đúng rồi nó ở trần thái tông đấy vâng số điện thoại là chín trăm sáu mươi mốt,work,2,unusable,user6,2026-05-25T07:52:19.472273+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008420251114110604_006_200e828a-8c00-476f-b440-2ce06d1b8ce4/clone8.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user3,50008620251111175651_004_42b120c4-ed9a-466e-95c9-61cb0e46e584/clone3.wav,50008620251111175651_004_42b120c4-ed9a-466e-95c9-61cb0e46e584,clone3.wav,dạ vâng xô-rum của nó là một trăm tám mươi hai quốc lộ mười ba phường bình thạnh thành phố hồ chí minh dạ,work,2,unusable,user3,2026-05-25T08:06:44.001501+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008620251111175651_004_42b120c4-ed9a-466e-95c9-61cb0e46e584/clone3.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user1,50008620251111175651_004_42b120c4-ed9a-466e-95c9-61cb0e46e584/clone7.wav,50008620251111175651_004_42b120c4-ed9a-466e-95c9-61cb0e46e584,clone7.wav,dạ vâng xô-rum của nó là một trăm tám mươi hai quốc lộ mười ba phường bình thạnh thành phố hồ chí minh dạ,work,2,unusable,user1,2026-05-26T03:59:10.070477+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008620251111175651_004_42b120c4-ed9a-466e-95c9-61cb0e46e584/clone7.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user1,50008620251110150620_003_5ba769a7-f8dd-4223-b2fa-999950a0e8b6/clone3.wav,50008620251110150620_003_5ba769a7-f8dd-4223-b2fa-999950a0e8b6,clone3.wav,"anh thấy giùm đó rồi cái anh anh nói anh mới anh có cái là anh gọi cho em vâng vâng anh rồi rồi bây giờ anh gửi luôn hả? khi nào gửi xong, khi nào gửi xong thì em sẽ báo lại cho anh à rồi rồi rồi dạ vâng",work,2,unusable,user1,2026-05-26T01:59:11.194185+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008620251110150620_003_5ba769a7-f8dd-4223-b2fa-999950a0e8b6/clone3.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user5,50008620251111163949_000_c47893f3-5df2-4e00-a5bf-a49a6a79378b/clone2.wav,50008620251111163949_000_c47893f3-5df2-4e00-a5bf-a49a6a79378b,clone2.wav,"vâng dạ dạ em chào anh em của vinfast em thấy có gọi nhỡ của anh bên tổng đài, không biết anh cần hỗ trợ gì không ạ?",work,2,unusable,user5,2026-05-26T04:44:28.334194+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008620251111163949_000_c47893f3-5df2-4e00-a5bf-a49a6a79378b/clone2.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user4,50008620251108000432_002_23bcdfde-ba36-4cf5-91c3-5777689ac24f/clone3.wav,50008620251108000432_002_23bcdfde-ba36-4cf5-91c3-5777689ac24f,clone3.wav,em tên là vũ thành trung ạ vâng có ảnh hưởng gì thân thể sức khỏe của mình không anh?,work,2,unusable,user4,2026-05-26T03:05:12.879970+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008620251108000432_002_23bcdfde-ba36-4cf5-91c3-5777689ac24f/clone3.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user5,50007920251110174150_002_b6fb17f2-7afa-4082-b879-f3c9036c1dbb/clone3.wav,50007920251110174150_002_b6fb17f2-7afa-4082-b879-f3c9036c1dbb,clone3.wav,"nhưng mà anh thấy là cái vấn đề à cung cấp cái linh kiện ấy để cho xưởng người ta sửa hơi à từ vinfast đến xưởng là hơi bị lâu tức là hơi bị thủ tục dạ, hiện tại thì về trường hợp này thì bên em cũng có kiểm tra với bên phía xưởng dịch vụ thì được biết là bên phía xưởng dịch vụ có tiếp nhận xe của anh vào thứ bảy tuy nhiên là về bên phía chủ nhật thì bên phía kho nghỉ nên là bên phía cơ sở lại chưa xử lý được sớm cho mình anh ạ rất mong anh thông cảm giúp em vì à vì anh anh nghĩ là ví dụ xưởng nào cũng có một cái kho ấy kho vật tư ấy và anh hỏi cái đấy cái giá trị của cái vật tư đấy nó không lớn đâu, nó chỉ có hơn hơn hai trăm nghìn đồng nhưng mà hỏi tất cả các xưởng dịch vụ và các xưởng của xưởng dịch vụ ở hải phòng nó rơi tầm khoảng à bốn đến năm xưởng ở bên à của vinfast mình ấy à hiện xưởng bên mình đều không có cái linh kiện đấy tức là bên a các xưởng dịch vụ người ta rất bị động vào cái vấn đề đấy dù linh kiện rất rẻ tiền ví dụ một con linh kiện có thể là năm mươi nghìn đồng, một trăm nghìn đồng nhưng vẫn cứ đợi nhà máy và tại sao mà lại mà cái cái linh kiện đấy nó nó rẻ tiền, nó không đến cái mức độ nó nó quá đầu tư nhiều tiền nhưng mà lại không một xưởng dịch vụ nào lại lại lại",work,2,unusable,user5,2026-05-25T07:16:08.920743+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50007920251110174150_002_b6fb17f2-7afa-4082-b879-f3c9036c1dbb/clone3.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user6,50008820251106175727_002_a99a49e8-9b8e-45a4-bcbd-d36daaebd9fc/clone7.wav,50008820251106175727_002_a99a49e8-9b8e-45a4-bcbd-d36daaebd9fc,clone7.wav,đặt đặt cọc nhầm con xe vê ép năm thì bây giờ nhờ em chuyển cho anh sang bên hồ sơ sang o i o để các bạn hỗ trợ nhá,work,2,unusable,user6,2026-05-25T08:10:47.920806+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008820251106175727_002_a99a49e8-9b8e-45a4-bcbd-d36daaebd9fc/clone7.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user2,50008120251105141615_005_4bccd11e-01fd-4bf5-a5db-e92004177d0b/clone2.wav,50008120251105141615_005_4bccd11e-01fd-4bf5-a5db-e92004177d0b,clone2.wav,"ừm vâng cho cho anh số hót-lain đi vâng, anh ghi lại giúp em với một nghìn tám trăm",work,2,unusable,user2,2026-05-26T01:57:03.137730+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008120251105141615_005_4bccd11e-01fd-4bf5-a5db-e92004177d0b/clone2.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user5,50008120251105141615_007_fe41814e-9ec4-4cc0-83aa-e59ee7142ea4/clone3.wav,50008120251105141615_007_fe41814e-9ec4-4cc0-83aa-e59ee7142ea4,clone3.wav,sáu nghìn chín trăm sáu mươi bảy à? đúng rồi ạ,work,2,unusable,user5,2026-05-25T08:41:08.841547+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50008120251105141615_007_fe41814e-9ec4-4cc0-83aa-e59ee7142ea4/clone3.wav,0,1,0.744642857142857,False Positive,0.744642857142857
user5,50013520251107201300_001_4bbd0e21-75db-4a8e-b811-187e5c9a89e3/clone3.wav,50013520251107201300_001_4bbd0e21-75db-4a8e-b811-187e5c9a89e3,clone3.wav,đã đặt cọc chị mua theo công ty ấy chị là nhân viên mà chị đặt cọc,work,2,unusable,user5,2026-05-26T04:31:07.029419+00:00,0,/kaggle/working/asr_quality_classifier/data/audio/data2/50013520251107201300_001_4bbd0e21-75db-4a8e-b811-187e5c9a89e3/clone3.wav,0,1,0.744642857142857,False Positive,0.744642857142857
